000736.XSHE	2022-03-01	82.5407	1.7221	0.5084	-3472.0923
000737.XSHE	2022-03-01	-2467.4194	3.5813	13.6365	2944.8914
000738.XSHE	2022-03-01	77.2589	2.9469	8.1817	56.4883
000739.XSHE	2022-03-01	36.3217	7.0811	4.0693	294.709
000750.XSHE	2022-03-01	27.1575	1.1483	4.1301	2.9921
000751.XSHE	2022-03-01	22.3534	1.849	0.5664	154.1001
000752.XSHE	2022-03-01	23.4854	38.0109	3.1871	-85.0912
000753.XSHE	2022-03-01	25.4936	1.4214	1.1558	-5.6005
000755.XSHE	2022-03-01	14.720999999999998	1.7387	5.7067	6.2539
000756.XSHE	2022-03-01	16.85	1.786	0.9728	-49.8858
000757.XSHE	2022-03-01	24.8744	1.6297	0.6258	-503.6819
000758.XSHE	2022-03-01	84.8828	2.2157	1.5161	-10.0252
000759.XSHE	2022-03-01	-65.3049	1.0367	0.2604	18.4838
000761.XSHE	2022-03-01	4.4808	0.7604	0.2309	-2.1495
000762.XSHE	2022-03-01	210.877	11.9231	45.6108	146.871
000766.XSHE	2022-03-01	-25.7627	2.0875	3.3515	-33.3413
000767.XSHE	2022-03-01	222.1171	1.5728	0.9551	8.9217
000768.XSHE	2022-03-01	114.8799	5.6935	2.6354	-63.6734
000776.XSHE	2022-03-01	13.7397	1.4045	4.1835	4.1112
000777.XSHE	2022-03-01	51.2325	3.3457	3.6106	-50.098
000778.XSHE	2022-03-01	8.7945	0.8562	0.3753	-27.718000000000004
000779.XSHE	2022-03-01	13.1948	1.7743	1.6462	-15.9289
000782.XSHE	2022-03-01	22.5444	1.9249	0.9243	70.5763
000783.XSHE	2022-03-01	16.2404	1.2932	4.4792	3.5151
000785.XSHE	2022-03-01	14.8564	1.7235	2.5715	13.1071
000786.XSHE	2022-03-01	14.3224	2.8202	2.4852	852.4295
000788.XSHE	2022-03-01	78.8655	3.2872	1.9508	-40.3342
000789.XSHE	2022-03-01	6.6293	1.5397	0.7894	36.5586
000790.XSHE	2022-03-01	71.6965	3.3668	4.2329	-24.7272
000791.XSHE	2022-03-01	35.3115	1.3836	4.6445	-51.4589
000792.XSHE	2022-03-01	49.3733	20.8029	20.4108	66.6433
000793.XSHE	2022-03-01	-2.9876	2.0928	4.3183	-193.2604
000795.XSHE	2022-03-01	68.0716	3.8385	2.7738	-46.6691
000796.XSHE	2022-03-01	-9.9339	11.1578	6.2866	-23.2336
000797.XSHE	2022-03-01	10.3808	0.8190000000000001	0.5303	-7.2475
000798.XSHE	2022-03-01	-26.1191	4.3035	4.85	-153.516
000799.XSHE	2022-03-01	64.94800000000001	17.0746	17.1361	66.2889
000800.XSHE	2022-03-01	12.1127	1.675	0.4151	2.8077
000801.XSHE	2022-03-01	58.8104	2.9339999999999997	2.4063	223.2803
000802.XSHE	2022-03-01	-4.2752	1.7028	5.0733	-100.6338
000803.XSHE	2022-03-01	114.3171	4.5994	9.5475	22.7923
000806.XSHE	2022-03-01	-20.0079	-33.2748	2.4643	4233.0864
000807.XSHE	2022-03-01	13.4863	2.6575	1.1498	-119.45100000000001
000809.XSHE	2022-03-01	-39.1824	0.8856	15.7849	-19.9149
000810.XSHE	2022-03-01	39.5135	3.466	1.4405	21.4808
000811.XSHE	2022-03-01	34.8482	2.1329	1.8989	-47.2768
