,code,day,pe_ratio,pb_ratio,ps_ratio,pcf_ratio
261,000711.XSHE,2017-09-29,73.0624,3.0672,10.2505,19.015
262,000712.XSHE,2017-09-29,64.0906,5.3817,10.3594,94.337
263,000713.XSHE,2017-09-29,1351.7039,1.8451,1.8356,-55.5792
264,000715.XSHE,2017-09-29,30.4294,2.4382,1.2539,-38.4241
265,000716.XSHE,2017-09-29,176.8871,2.2609,1.5876,108.5921
266,000717.XSHE,2017-09-29,20.3212,17.9622,1.0198,-1348.2155
267,000718.XSHE,2017-09-29,15.4869,2.3422,2.0591,-27.4617
268,000719.XSHE,2017-09-29,15.7475,1.5747,1.2821,-12.5252
269,000720.XSHE,2017-09-29,-31.7772,6.3127,1.9134,-52.0996
270,000721.XSHE,2017-09-29,-401.642,5.7465,7.7026,1064.8816
271,000722.XSHE,2017-09-29,49.6851,2.0092,20.8822,18.7467
272,000723.XSHE,2017-09-29,33.8012,5.0967,3.403,218.8467
273,000725.XSHE,2017-09-29,22.8471,1.8958,1.7589,55.43
274,000726.XSHE,2017-09-29,12.8902,1.6056,1.7924,482.0449
275,000727.XSHE,2017-09-29,-74.1519,1.2109999999999999,3.1071,-12.8791
276,000728.XSHE,2017-09-29,29.4707,2.0162,11.7121,-14.9575
277,000729.XSHE,2017-09-29,51.5995,1.3772,1.5624,-52.8548
278,000731.XSHE,2017-09-29,-41.4923,1.9528,2.0873,-27.0892
279,000732.XSHE,2017-09-29,11.8451,1.4814,0.9523,2.6991
280,000733.XSHE,2017-09-29,37.5801,1.8955,0.9563,-78.0968
281,000735.XSHE,2017-09-29,44.1836,2.3563,5.8067,-19.5614
282,000736.XSHE,2017-09-29,-80.9096,3.4611,2.293,2.2353
283,000737.XSHE,2017-09-29,-57.6377,381.3101,1.8915,-179.3175
284,000738.XSHE,2017-09-29,95.6778,4.5209,9.1033,1511.6611
285,000739.XSHE,2017-09-29,29.9265,3.1094,1.5696,76.533
286,000750.XSHE,2017-09-29,29.8626,1.8083,6.9203,-136.1463
287,000751.XSHE,2017-09-29,54.8988,3.8831,1.4792,-41.0891
288,000752.XSHE,2017-09-29,309.3936,4.8443,10.3815,-14.1738
289,000753.XSHE,2017-09-29,21.1612,2.1344,1.4824,6.5201
290,000755.XSHE,2017-09-29,-5.0676,10.5186,1.0441,-23.7713
291,000756.XSHE,2017-09-29,38.5714,3.3264,1.5986,28.8042
292,000757.XSHE,2017-09-29,106.3513,5.6062,5.9285,-394.5084
293,000758.XSHE,2017-09-29,42.2142,2.806,0.6874,-79.0918
294,000759.XSHE,2017-09-29,31.1407,2.0902,0.4246,-13.472999999999999
295,000760.XSHE,2017-09-29,30.7981,3.5412,22.229,14.599
296,000761.XSHE,2017-09-29,16.9321,1.4344,0.505,4.6278
297,000762.XSHE,2017-09-29,-472.7135,4.9552,17.7084,123.1442
298,000766.XSHE,2017-09-29,54.8649,3.181,12.4241,-56.0257
299,000767.XSHE,2017-09-29,-28.5989,1.3005,1.2126,15.9832
300,000768.XSHE,2017-09-29,125.4439,3.4703,1.9402,193.7635
301,000776.XSHE,2017-09-29,17.4253,1.8519,7.0107,-6.9646
302,000777.XSHE,2017-09-29,85.4384,5.319,7.7063,391.88
303,000778.XSHE,2017-09-29,33.5113,1.2945,0.4999,37.7055
304,000779.XSHE,2017-09-29,34.2902,11.013,10.3711,20.6272
305,000780.XSHE,2017-09-29,143.0311,1.2506,2.1014,7.166
306,000782.XSHE,2017-09-29,-105.6919,4.5085,1.7566,-685.466
307,000783.XSHE,2017-09-29,25.8096,2.0761,8.9089,-6.3885
308,000785.XSHE,2017-09-29,223.7031,3.4615,0.715,599.4398
309,000786.XSHE,2017-09-29,22.0566,2.859,3.3794,477.4146
310,000788.XSHE,2017-09-29,270.657,5.1416,2.6737,-16.5151
311,000789.XSHE,2017-09-29,21.1117,1.9028,0.8611,-10.1917
312,000790.XSHE,2017-09-29,50.8711,5.7805,6.5801,26.8288
313,000791.XSHE,2017-09-29,180.9277,1.5134,4.7159,37.639
314,000792.XSHE,2017-09-29,-103.2387,2.353,5.1901,-209.0167
315,000793.XSHE,2017-09-29,22.1736,2.0662,4.6896,-54.0188
316,000795.XSHE,2017-09-29,136.7973,4.3452,5.1833,-36.1444
317,000796.XSHE,2017-09-29,43.9026,6.9036,1.7121,22.0345
318,000797.XSHE,2017-09-29,55.3687,5.7875,4.8552,18.0391
319,000798.XSHE,2017-09-29,63.9863,4.1745,4.2668,34.3717
320,000799.XSHE,2017-09-29,60.3834,4.8187,12.5476,-88.3936
321,000800.XSHE,2017-09-29,157.493,2.8110000000000004,0.8108,110.4199
322,000801.XSHE,2017-09-29,79.6626,3.8284,2.4311,127.5572
